Bolsa;Campus;Curso;Quantidade                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AUXÍLIO ALIMENTAÇÃO;GOVERNADOR VALADARES;ADMINISTRAÇÃO;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
AUXÍLIO ALIMENTAÇÃO;GOVERNADOR VALADARES;CIÊNCIAS CONTÁBEIS;3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
AUXÍLIO ALIMENTAÇÃO;GOVERNADOR VALADARES;CIÊNCIAS ECONÔMICAS;6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
AUXÍLIO ALIMENTAÇÃO;GOVERNADOR VALADARES;DIREITO;5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
AUXÍLIO ALIMENTAÇÃO;GOVERNADOR VALADARES;EDUCAÇÃO FÍSICA;4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
AUXÍLIO ALIMENTAÇÃO;GOVERNADOR VALADARES;FARMÁCIA;5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO ALIMENTAÇÃO;GOVERNADOR VALADARES;FISIOTERAPIA;7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
AUXÍLIO ALIMENTAÇÃO;GOVERNADOR VALADARES;MEDICINA;8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO ALIMENTAÇÃO;GOVERNADOR VALADARES;NUTRIÇÃO;5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
AUXÍLIO ALIMENTAÇÃO;GOVERNADOR VALADARES;ODONTOLOGIA;4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;ABI - CIÊNCIAS BIOLÓGICAS;2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;ABI - CIÊNCIAS SOCIAIS;5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
AUXÍLIO ALIMENTAÇÃO;JUIZ DE FORA;ABI - EDUCAÇÃO FÍSICA;17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
